time,load,mises,pe_eff,pe_xx,strain_xx,stress_xx
6.7499999999999,4.9e-05,96.687131782964,3.691410852708e-05,3.691410852708e-05,4.9e-05,96.68713178336
6.7599999999999,4.896e-05,96.367131782964,3.691410852708e-05,3.691410852708e-05,4.896e-05,96.36713178336
6.7699999999999,4.892e-05,96.047131782964,3.691410852708e-05,3.691410852708e-05,4.892e-05,96.04713178336
6.7799999999999,4.888e-05,95.727131782964,3.691410852708e-05,3.691410852708e-05,4.888e-05,95.72713178336
6.7899999999999,4.884e-05,95.407131782964,3.691410852708e-05,3.691410852708e-05,4.884e-05,95.40713178336
6.7999999999999,4.88e-05,95.087131782964,3.691410852708e-05,3.691410852708e-05,4.88e-05,95.08713178336
6.8099999999999,4.876e-05,94.767131782964,3.691410852708e-05,3.691410852708e-05,4.876e-05,94.76713178336
6.8199999999999,4.872e-05,94.447131782964,3.691410852708e-05,3.691410852708e-05,4.872e-05,94.44713178336
6.8299999999999,4.868e-05,94.127131782964,3.691410852708e-05,3.691410852708e-05,4.868e-05,94.12713178336
6.8399999999999,4.864e-05,93.807131782964,3.691410852708e-05,3.691410852708e-05,4.864e-05,93.80713178336
6.8499999999999,4.86e-05,93.487131782964,3.691410852708e-05,3.691410852708e-05,4.86e-05,93.48713178336
6.8599999999999,4.856e-05,93.167131782964,3.691410852708e-05,3.691410852708e-05,4.856e-05,93.16713178336
6.8699999999999,4.852e-05,92.847131782964,3.691410852708e-05,3.691410852708e-05,4.852e-05,92.84713178336
6.8799999999999,4.848e-05,92.527131782964,3.691410852708e-05,3.691410852708e-05,4.848e-05,92.52713178336
6.8899999999999,4.844e-05,92.207131782964,3.691410852708e-05,3.691410852708e-05,4.844e-05,92.20713178336
6.8999999999999,4.84e-05,91.887131782964,3.691410852708e-05,3.691410852708e-05,4.84e-05,91.88713178336
6.9099999999999,4.836e-05,91.567131782964,3.691410852708e-05,3.691410852708e-05,4.836e-05,91.56713178336
6.9199999999999,4.832e-05,91.247131782964,3.691410852708e-05,3.691410852708e-05,4.832e-05,91.247131783361
6.9299999999999,4.828e-05,90.927131782964,3.691410852708e-05,3.691410852708e-05,4.828e-05,90.92713178336
6.9399999999999,4.824e-05,90.607131782964,3.691410852708e-05,3.691410852708e-05,4.824e-05,90.60713178336
6.9499999999999,4.82e-05,90.287131782964,3.691410852708e-05,3.691410852708e-05,4.82e-05,90.28713178336
6.9599999999999,4.816e-05,89.967131782964,3.691410852708e-05,3.691410852708e-05,4.816e-05,89.96713178336
6.9699999999999,4.812e-05,89.647131782964,3.691410852708e-05,3.691410852708e-05,4.812e-05,89.64713178336
6.9799999999999,4.808e-05,89.327131782964,3.691410852708e-05,3.691410852708e-05,4.808e-05,89.32713178336
6.9899999999999,4.804e-05,89.007131782964,3.691410852708e-05,3.691410852708e-05,4.804e-05,89.00713178336
6.9999999999999,4.8e-05,88.687131782964,3.691410852708e-05,3.691410852708e-05,4.8e-05,88.68713178336
7.0099999999999,4.796e-05,88.367131782964,3.691410852708e-05,3.691410852708e-05,4.796e-05,88.36713178336
7.0199999999999,4.792e-05,88.047131782964,3.691410852708e-05,3.691410852708e-05,4.792e-05,88.04713178336
7.0299999999999,4.788e-05,87.727131782964,3.691410852708e-05,3.691410852708e-05,4.788e-05,87.72713178336
7.0399999999999,4.784e-05,87.407131782964,3.691410852708e-05,3.691410852708e-05,4.784e-05,87.40713178336
7.0499999999999,4.78e-05,87.087131782964,3.691410852708e-05,3.691410852708e-05,4.78e-05,87.087131783361
7.0599999999999,4.776e-05,86.767131782964,3.691410852708e-05,3.691410852708e-05,4.776e-05,86.767131783361
7.0699999999999,4.772e-05,86.447131782964,3.691410852708e-05,3.691410852708e-05,4.772e-05,86.447131783361
7.0799999999999,4.768e-05,86.127131782964,3.691410852708e-05,3.691410852708e-05,4.768e-05,86.127131783361
7.0899999999999,4.764e-05,85.807131782964,3.691410852708e-05,3.691410852708e-05,4.764e-05,85.807131783361
